Unique_client_ID,y_proba,Race/Ethnicity,SPA,Gender,Age_group_at_assessment,Intervention,InterventionYear,AssessmentYear,TOTAL_SCORE,HISTORY_SUB_SCORE,RISKS_SUB_SCORE,SOCIALIZATION_SUB_SCORE,WELLNESS_SUB_SCORE
45152,0.088681502,Black,2,Male,25-44,Permanently Housed,,2017,10,2,4,3,1
45153,0.287676939,Latino,4,Female,25-44,Exited to a place not meant for habitation,2016,2016,4,2,0,1,1
45162,0.113055014,White,2,Female,60+,Permanently Housed,,2016,11,2,3,2,3
45175,0.349415088,White,7,Male,45-59,Exited to a temporary destination,2017,2017,8,1,3,2,2
45176,0.164079129,Latino,6,Female,25-44,Exited to an other or unknown destination,2022,2021,6,2,1,3,0
45183,0.110085139,Black,2,Male,25-44,Permanently Housed,2019,2016,11,2,1,3,5
45184,0.158562195,Latino,8,Female,18-24,Exited to an other or unknown destination,2021,2020,8,2,1,4,1
45187,0.258307221,Asian,2,Female,18-24,Assessed Only,,2016,6,2,0,3,1
45193,0.054783626,Black,5,Female,45-59,"Matched to Permanent Housing, Not Yet Housed",2020,2019,16,2,4,4,6
45203,0.448028503,Latino,5,Male,25-44,Assessed Only,,2017,5,1,1,1,2
45208,0.88281122,White,8,Male,45-59,Permanently Housed,2017,2017,1,0,0,1,0
45213,0.327089866,Black,4,Male,45-59,Exited to an other or unknown destination,2016,2016,7,2,0,3,1
45216,0.469508,Black,6,Female,18-24,Exited to an other or unknown destination,2017,2016,4,2,0,1,1
45220,0.676082827,Black,6,Male,25-44,Assessed Only,,2016,2,1,0,1,0
45226,0.173154045,White,5,Female,25-44,Permanently Housed,2016,2016,7,2,1,2,2
45227,0.438329985,White,3,Female,45-59,Permanently Housed,2017,2016,7,1,1,3,2
45229,0.629572306,Black,6,Female,45-59,Permanently Housed,2019,2018,6,1,1,1,3
45230,0.048586419,Black,6,Male,45-59,Permanently Housed,2021,2020,16,2,4,4,6
45232,0.108209385,Black,8,Male,45-59,Assessed Only,,2016,13,2,3,2,6
45235,0.748420314,Black,6,Female,45-59,Assessed Only,,2016,3,1,0,1,1
45236,0.268299161,Latino,,Female,60+,"Currently active in ""Street Outreach"" program",,2016,7,2,0,1,3
45247,0.291248954,Latino,6,Male,25-44,Exited to an other or unknown destination,2016,2016,3,2,0,1,0
45250,0.579313297,Black,6,Male,25-44,"Matched to Permanent Housing, Not Yet Housed",,2022,4,1,1,1,1
45254,0.539317015,Latino,4,Male,18-24,Exited to a permanent destination,2019,2018,4,1,0,3,0
45260,0.165494477,Latino,8,Male,18-24,"Matched to Permanent Housing, Not Yet Housed",2017,2016,8,2,2,2,2
45273,0.389146574,White,4,Female,25-44,"Currently active in ""Emergency Shelter"" program",,2016,6,1,2,2,1
45283,0.253016402,Latino,3,Female,25-44,Permanently Housed,2016,2016,10,1,2,2,5
45285,0.154003351,Black,6,Female,45-59,Exited to an other or unknown destination,2017,2016,10,2,3,3,2
45288,0.496036574,Black,5,Male,45-59,Assessed Only,,2016,9,1,2,2,3
45290,0.225611927,Black,4,Male,18-24,Exited to an other or unknown destination,2018,2018,8,2,2,2,2
45302,0.461886361,White,6,Male,25-44,Exited to an other or unknown destination,2017,2017,5,1,1,1,2
45311,0.324842158,Black,6,Female,18-24,Permanently Housed,2016,2016,10,1,3,4,2
45353,0.1577069,Black,4,Female,25-44,Exited to an other or unknown destination,2016,2016,9,2,1,3,3
45357,0.119026183,Black,4,Male,60+,Permanently Housed,2017,2016,12,2,3,2,4
45358,0.360230628,Latino,4,Male,45-59,"Currently active in ""Street Outreach"" program",,2016,8,1,1,3,3
45363,0.049838493,Black,6,Female,25-44,"Matched to Permanent Housing, Not Yet Housed",2022,2020,15,2,3,4,6
45376,0.498411479,Black,6,Female,45-59,Exited to an other or unknown destination,2021,2016,3,2,0,1,0
45384,0.319935918,Black,8,Male,60+,Assessed Only,,2016,6,2,0,2,1
45392,0.551623667,Latino,7,Male,25-44,Assessed Only,,2016,3,1,0,1,1
45403,0.042786075,White,4,Female,25-44,Exited to a place not meant for habitation,2017,2016,14,2,4,3,5
45406,0.195564485,Black,5,Male,45-59,Assessed Only,,2016,8,2,2,3,1
45416,0.498579732,Latino,2,Male,45-59,Permanently Housed,,2016,6,1,0,2,3
45417,0.102031245,White,6,Male,45-59,Exited to an other or unknown destination,2017,2018,11,2,2,3,4
45424,0.631554227,Black,8,Male,45-59,Exited to an other or unknown destination,2016,2016,4,1,1,2,0
45427,0.478021012,Black,3,Female,45-59,"Currently active in ""Services Only"" program",,2016,8,1,0,4,3
45436,0.477633392,Latino,4,Male,25-44,Permanently Housed,2019,2016,4,1,0,2,1
45437,0.086375314,Latino,4,Male,45-59,Assessed Only,,2016,11,2,3,3,3
45450,0.199386692,Latino,7,Male,45-59,Permanently Housed,2018,2016,11,1,4,3,3
45451,0.188127381,White,2,Male,45-59,Assessed Only,,2016,8,2,1,2,3
45453,0.21183683,Black,2,Male,60+,Permanently Housed,2017,2016,9,2,1,2,3
45478,0.491509474,Black,2,Female,60+,Exited to an other or unknown destination,2017,2016,4,2,0,0,1
45480,0.054783626,Black,6,Female,45-59,"Matched to Permanent Housing, Not Yet Housed",,2019,16,2,4,4,6
45482,0.160905698,White,2,Male,60+,Permanently Housed,,2019,8,2,1,3,1
45484,0.362440831,Black,8,Male,45-59,Assessed Only,,2016,6,2,0,1,3
45487,0.075456454,Black,3,Male,25-44,Permanently Housed,2021,2021,13,2,2,3,6
45493,0.611695737,White,8,Male,60+,Permanently Housed,2017,2016,4,1,0,1,1
45494,0.22072591,Black,8,Male,45-59,Assessed Only,,2016,8,2,2,2,2
45499,0.137766144,White,4,Male,25-44,Exited to an other or unknown destination,2022,2019,8,2,1,2,3
45507,0.408551439,Latino,8,Female,25-44,Exited to an other or unknown destination,2017,2016,7,1,1,1,4
45518,0.476234674,White,7,Female,45-59,"Currently active in ""Street Outreach"" program",,2016,7,1,1,2,3
45524,0.64083218,Latino,4,Male,45-59,Exited to an other or unknown destination,2018,2016,3,1,0,1,1
45526,0.177986485,Black,4,Male,25-44,Assessed Only,,2016,8,2,0,3,3
45529,0.062815287,Black,4,Male,45-59,"Currently active in ""Coordinated Entry"" program",,2021,15,2,3,4,6
45535,0.469848107,Black,6,Male,25-44,Exited to an other or unknown destination,2018,2018,6,1,1,2,2
45537,0.515815554,Latino,2,Male,25-44,Exited to an other or unknown destination,2016,2016,4,1,0,1,2
45541,0.134456126,White,5,Male,45-59,Assessed Only,,2016,9,2,3,2,2
45552,0.718428079,Latino,4,Female,45-59,"Currently active in ""Services Only"" program",,2016,6,0,1,3,2
45570,0.326346606,White,4,Male,45-59,"Currently active in ""Emergency Shelter"" program",,2016,5,2,1,0,2
45585,0.734911627,Latino,4,Male,45-59,Assessed Only,,2016,1,1,0,0,0
45595,0.466814755,Black,6,Male,45-59,Permanently Housed,2019,2016,3,2,0,1,0
45599,0.200031195,Black,6,Male,25-44,Exited to an other or unknown destination,2016,2016,7,2,0,3,2
45600,0.279388114,Latino,4,Female,25-44,Permanently Housed,2018,2018,8,1,2,3,2
45604,0.394517236,White,4,Female,60+,Assessed Only,,2016,8,1,1,3,2
45617,0.445017772,Latino,6,Male,45-59,Permanently Housed,2017,2016,2,2,0,0,0
45627,0.349852592,White,4,Female,25-44,Exited to an other or unknown destination,2016,2016,7,1,1,3,2
45628,0.148737414,Asian,2,Male,45-59,Exited to an other or unknown destination,2020,2018,9,2,2,2,3
45633,0.352747957,Black,3,Female,45-59,Permanently Housed,2019,2019,10,1,3,3,3
45642,0.094321709,Black,5,Male,45-59,Permanently Housed,,2021,13,2,3,3,5
45647,0.036382714,White,6,Female,25-44,Permanently Housed,2018,2016,15,2,3,4,6
45648,0.549129011,Black,6,Female,60+,Permanently Housed,2018,2017,7,1,1,2,2
45651,0.206552216,Black,4,Male,60+,Permanently Housed,2017,2016,14,1,3,3,6
45658,0.176746275,Black,4,Female,25-44,Permanently Housed,2018,2017,13,1,4,3,5
45659,0.800107166,Black,2,Female,45-59,Permanently Housed,2016,2016,2,1,0,0,1
45660,0.29128394,Black,6,Male,60+,Exited to a temporary destination,2018,2017,8,2,0,1,4
45673,0.351044557,Black,5,Male,45-59,Assessed Only,,2016,9,1,2,4,2
45677,0.12929292,Latino,6,Female,25-44,Assessed Only,,2016,9,2,1,2,4
45678,0.193368348,Black,2,Female,18-24,Permanently Housed,2018,2017,9,2,1,4,2
45700,0.820286996,Black,7,Female,18-24,"Currently active in ""Services Only"" program",,2017,5,0,2,2,1
45708,0.527468428,Black,4,Female,60+,Assessed Only,,2016,3,2,0,0,0
45717,0.920023536,White,5,Female,45-59,Exited to an other or unknown destination,2019,2016,0,0,0,0,0
45725,0.196742161,Black,6,Female,45-59,Exited to a place not meant for habitation,2021,2019,9,2,3,2,2
45736,0.1311022,Latino,4,Female,25-44,Exited to an other or unknown destination,2016,2018,8,2,2,2,2
45744,0.096750367,White,4,Male,25-44,Assessed Only,,2016,9,2,3,2,2
45746,0.073515866,Black,6,Male,45-59,Permanently Housed,,2018,14,2,4,3,5
45755,0.346752087,Latino,6,Male,18-24,Exited to an other or unknown destination,2016,2016,4,2,0,1,1
45756,0.094321709,Black,,Male,45-59,Assessed Only,,2016,13,2,3,3,5
45772,0.059429796,Black,1,Male,25-44,Permanently Housed,,2016,13,2,4,3,4
45784,0.573248789,Black,6,Male,25-44,Exited to an other or unknown destination,2019,2017,4,1,0,2,1
45788,0.653592117,White,4,Male,45-59,"Currently active in ""PH - Rapid Re-Housing"" program",,2016,3,1,0,1,1
45794,0.624077952,White,7,Male,45-59,Exited to an other or unknown destination,2017,2016,3,1,1,1,0
45798,0.045512013,Latino,6,Male,25-44,Permanently Housed,2021,2016,13,2,2,4,5
45803,0.31460289,Latino,6,Female,18-24,Assessed Only,,2019,5,2,1,1,1
45825,0.245772869,Black,4,Male,25-44,"Matched to Permanent Housing, Not Yet Housed",2021,2021,11,1,2,3,5
45836,0.114074986,Latino,5,Male,25-44,Permanently Housed,2017,2016,13,1,4,3,5
45851,0.475118778,Black,6,Female,60+,Exited to a temporary destination,2018,2017,8,1,1,3,2
45854,0.49950159,Latino,4,Female,45-59,"Currently active in ""Emergency Shelter"" program",,2016,8,1,1,2,3
45857,0.670461603,Latino,4,Male,25-44,Permanently Housed,,2016,5,0,0,3,2
45861,0.496364869,Latino,8,Male,45-59,Permanently Housed,2016,2016,5,1,0,3,1
45863,0.072237483,Latino,2,Male,25-44,"Currently active in ""Street Outreach"" program",,2016,11,2,4,1,4
45864,0.613775977,Latino,6,Male,18-24,Permanently Housed,2016,2018,4,1,0,1,2
45869,0.114904965,Black,4,Female,25-44,"Currently active in ""Services Only"" program",,2018,11,2,4,1,4
45878,0.608037033,Black,4,Male,25-44,Exited to an other or unknown destination,2016,2016,3,1,0,2,0
45884,0.692282754,Black,6,Male,45-59,Permanently Housed,2017,2017,3,1,0,2,0
45890,0.302228415,Black,6,Male,45-59,Exited to an other or unknown destination,2017,2016,7,2,1,1,3
45892,0.453613229,White,2,Female,45-59,Permanently Housed,2016,2016,4,2,0,1,0
45896,0.103235504,Latino,7,Male,25-44,Exited to a place not meant for habitation,2021,2020,9,2,2,2,3
45911,0.205080487,Latino,6,Male,18-24,Exited to an other or unknown destination,2016,2016,6,2,1,3,0
45921,0.607073679,Latino,7,Male,45-59,Exited to a place not meant for habitation,2017,2016,4,1,0,1,2
45923,0.291569743,Black,4,Female,45-59,"Currently active in ""Services Only"" program",,2016,7,2,0,3,2
45924,0.187685887,Latino,5,Male,25-44,Assessed Only,,2016,10,1,4,2,3
45925,0.663220745,Black,6,Female,18-24,Assessed Only,,2016,5,1,0,2,2
45935,0.315221611,White,8,Female,45-59,Assessed Only,,2016,5,2,0,2,1
45940,0.35951773,White,4,Male,18-24,Exited to an other or unknown destination,2016,2016,4,2,0,1,1
45944,0.676082827,Black,8,Male,25-44,Exited to a temporary destination,2017,2017,2,1,0,1,0
45946,0.075359487,Black,6,Female,25-44,Permanently Housed,,2016,13,2,3,3,5
45949,0.055689943,Black,6,Male,45-59,Permanently Housed,,2018,15,2,4,4,5
45952,0.802870379,Black,6,Male,45-59,"Matched to Permanent Housing, Not Yet Housed",,2016,1,1,0,0,0
45964,0.238975504,Black,8,Male,45-59,Exited to an other or unknown destination,2020,2019,8,2,0,3,3
45969,0.08297076,White,4,Male,25-44,"Currently active in ""Emergency Shelter"" program",,2016,10,2,2,3,3
45972,0.122339862,Latino,5,Male,60+,"Currently active in ""Transitional Housing"" program",,2021,10,2,2,2,3
45980,0.462494601,Black,6,Female,45-59,Exited to an other or unknown destination,2019,2016,4,2,0,1,1
45987,0.282898082,Latino,2,Male,25-44,Exited to an other or unknown destination,2021,2016,7,1,2,3,1
45996,0.531194827,Black,6,Female,25-44,Permanently Housed,2017,2016,5,1,0,3,1
46013,0.336507185,Latino,2,Female,45-59,Permanently Housed,2019,2017,5,2,0,1,2
46015,0.191734577,White,4,Female,45-59,Exited to an other or unknown destination,2020,2016,8,2,3,1,2
46036,0.197152907,Latino,2,Female,25-44,Exited to a place not meant for habitation,2022,2017,11,1,1,4,5
46037,0.132011573,Latino,4,Male,60+,Permanently Housed,2018,2017,14,1,3,4,5
46038,0.185835635,Latino,6,Male,45-59,Exited to an other or unknown destination,2016,2016,7,2,3,1,1
46043,0.306376335,Latino,,Male,60+,"Currently active in ""Services Only"" program",,2017,5,2,1,0,1
46062,0.199163526,Latino,8,Female,45-59,"Currently active in ""Street Outreach"" program",,2020,8,2,1,2,3
46066,0.291569743,Black,3,Female,45-59,Assessed Only,,2016,7,2,0,3,2
46070,0.068005346,Black,6,Male,25-44,Assessed Only,,2018,12,2,4,3,3
46074,0.88892183,Latino,3,Male,60+,Permanently Housed,,2016,1,0,0,0,0
46078,0.653592117,White,3,Male,45-59,Assessed Only,,2016,3,1,0,1,1
46082,0.288557208,White,8,Male,45-59,Exited to a place not meant for habitation,2017,2016,5,2,0,2,1
46105,0.197754193,Latino,4,Female,45-59,Exited to an other or unknown destination,2017,2016,7,2,1,3,1
46108,0.149356278,White,1,Male,18-24,Exited to a place not meant for habitation,2021,2016,8,2,1,4,1
46123,0.333419619,Black,6,Male,45-59,Exited to a temporary destination,2016,2016,6,2,1,1,2
46126,0.142897919,Latino,3,Female,45-59,Permanently Housed,2016,2016,9,2,3,2,2
46139,0.459358636,Black,6,Female,18-24,Exited to an other or unknown destination,2018,2016,8,1,2,3,2
46151,0.071842041,Black,4,Male,45-59,Exited to an other or unknown destination,2019,2019,14,2,3,4,5
46159,0.311487917,White,5,Male,60+,Permanently Housed,2017,2016,10,1,3,1,4
46161,0.309717477,Black,4,Male,25-44,Exited to an other or unknown destination,2019,2018,4,2,0,2,0
46164,0.826419913,Black,6,Male,25-44,"Currently active in ""Street Outreach"" program",,2016,3,0,1,1,1
46169,0.306016754,Black,6,Female,25-44,Exited to an other or unknown destination,2016,2016,5,2,0,2,1
46176,0.13126071,Latino,2,Male,25-44,Assessed Only,,2016,8,2,1,2,3
46178,0.195345783,Black,4,Female,45-59,Permanently Housed,2018,2018,8,2,3,3,0
46190,0.141985577,Latino,4,Male,45-59,Exited to a permanent destination,2019,2016,8,2,2,3,1
46194,0.075954461,Black,4,Male,25-44,Exited to an other or unknown destination,2016,2018,11,2,3,4,2
46198,0.382119321,Latino,8,Male,25-44,Permanently Housed,2016,2016,6,1,2,1,2
46204,0.082052396,Black,8,Male,45-59,"Matched to Permanent Housing, Not Yet Housed",2022,2020,13,2,3,4,4
46208,0.679441229,White,4,Male,60+,Exited to an other or unknown destination,2016,2016,3,1,0,0,1
46230,0.505798671,Black,8,Male,25-44,Assessed Only,,2016,5,1,1,2,1
46243,0.836198816,White,6,Female,25-44,Exited to an other or unknown destination,2016,2016,2,0,0,1,1
46253,0.185370582,Black,6,Male,25-44,Permanently Housed,2019,2018,8,2,2,1,3
46269,0.082052396,Black,4,Male,45-59,Permanently Housed,2020,2017,13,2,3,4,4
46284,0.84076116,Latino,4,Male,60+,Exited to an other or unknown destination,2016,2016,3,0,1,0,1
46285,0.350176539,White,1,Male,18-24,Exited to an other or unknown destination,2018,2017,8,1,2,3,2
46286,0.199058522,Black,5,Male,60+,Permanently Housed,2017,2016,9,2,4,0,2
46292,0.206316007,White,7,Female,60+,"Currently active in ""Emergency Shelter"" program",,2022,8,2,2,1,2
46296,0.600385506,White,6,Male,25-44,Assessed Only,,2016,2,1,0,1,0
46298,0.350168997,White,5,Male,25-44,Permanently Housed,2017,2016,7,1,0,3,3
46307,0.121952063,Black,4,Male,45-59,"Currently active in ""Emergency Shelter"" program",,2017,11,2,3,3,3
46321,0.187915053,White,4,Female,45-59,"Currently active in ""Emergency Shelter"" program",,2016,8,2,2,2,2
46325,0.060957794,White,4,Male,45-59,Permanently Housed,2022,2018,14,2,3,3,6
46327,0.327077487,White,4,Male,25-44,Exited to an other or unknown destination,2020,2017,7,1,2,2,2
46330,0.210361374,Black,6,Male,60+,Permanently Housed,2017,2016,8,2,1,3,1
46332,0.053433037,Latino,5,Male,25-44,Assessed Only,,2016,12,2,3,3,4
46342,0.48422119,Black,8,Female,45-59,Permanently Housed,2019,2018,8,1,1,3,3
46346,0.729444698,Black,2,Male,18-24,Permanently Housed,2018,2016,3,1,0,1,1
46352,0.260945908,Black,4,Female,25-44,Exited to an other or unknown destination,2022,2022,6,2,3,0,1
46371,0.141442197,Black,8,Female,25-44,Exited to an other or unknown destination,2017,2018,9,2,2,3,2
46374,0.495671207,Latino,6,Male,60+,Exited to a place not meant for habitation,2017,2017,6,1,1,1,2
46376,0.366595092,Black,7,Female,18-24,Exited to an other or unknown destination,2017,2017,5,2,1,2,0
46379,0.284845061,Black,6,Male,25-44,Exited to an other or unknown destination,2016,2016,5,2,1,1,1
46385,0.694166889,Black,6,Male,45-59,Exited to a temporary destination,2017,2016,4,1,0,1,2
46386,0.431521342,Latino,2,Female,18-24,Exited to an other or unknown destination,2022,2018,7,1,1,3,2
46387,0.075954461,Black,4,Male,25-44,Permanently Housed,2021,2020,11,2,3,4,2
46391,0.103122494,Black,8,Female,60+,Exited to an other or unknown destination,2019,2018,14,2,3,2,6
46392,0.120711711,Black,5,Male,60+,Exited to a temporary destination,2017,2018,11,2,4,2,2
46396,0.063879363,Black,6,Female,18-24,"Currently active in ""Day Shelter"" program",,2022,14,2,4,5,3
46412,0.061992485,White,4,Female,18-24,"Currently active in ""Street Outreach"" program",,2016,13,2,4,4,3
46431,0.21183683,Black,4,Male,60+,Permanently Housed,2022,2019,9,2,1,2,3
46434,0.327616283,Black,6,Female,45-59,Permanently Housed,,2021,6,2,1,2,1
46435,0.507665561,Black,7,Female,25-44,"Currently active in ""Emergency Shelter"" program",,2020,6,1,2,1,2
46441,0.197271789,Black,1,Female,18-24,Assessed Only,,2016,9,2,2,3,2
46442,0.191958129,Black,8,Male,45-59,Permanently Housed,2018,2018,14,1,4,3,6
46445,0.076932994,Latino,6,Female,25-44,Assessed Only,,2016,10,2,2,4,2
46446,0.151618266,White,5,Male,25-44,Assessed Only,,2016,12,1,3,3,5
46448,0.201453939,Black,5,Male,25-44,Permanently Housed,2017,2016,11,1,4,3,3
46455,0.392502548,Black,8,Male,45-59,Permanently Housed,,2021,9,1,3,2,3
46456,0.31250366,White,4,Female,18-24,Permanently Housed,2017,2017,9,1,2,4,2
46461,0.23244439,Latino,1,Female,18-24,Exited to an other or unknown destination,2022,2016,7,2,2,1,2
46476,0.196304011,Black,6,Female,60+,Exited to an institutional destination,2020,2019,10,2,4,0,3
46481,0.313988549,White,8,Male,45-59,Exited to a temporary destination,2017,2017,10,1,2,2,5
46484,0.246343634,Latino,4,Male,45-59,"Currently active in ""Emergency Shelter"" program",,2016,10,1,3,3,3
46487,0.184036422,Black,4,Male,25-44,Exited to an other or unknown destination,2017,2016,7,2,2,2,1
46491,0.082052396,Black,4,Male,45-59,Assessed Only,,2016,13,2,3,4,4
46493,0.582687442,Latino,2,Female,25-44,Assessed Only,,2016,3,1,0,1,1
46494,0.135291613,Black,7,Male,45-59,Assessed Only,,2016,10,2,2,4,2
46525,0.122243966,White,4,Male,60+,Permanently Housed,,2018,15,1,3,4,6
46534,0.042843071,White,8,Male,25-44,Exited to an other or unknown destination,2021,2020,14,2,3,3,6
46537,0.028204321,Latino,2,Male,60+,Permanently Housed,2022,2021,17,2,4,4,6
46547,0.666779937,Black,1,Female,18-24,"Currently active in ""Coordinated Entry"" program",,2021,4,1,1,2,0
46555,0.095249804,Black,1,Female,18-24,Assessed Only,,2016,14,2,3,3,6
46565,0.052986701,Latino,5,Male,25-44,Permanently Housed,2019,2018,11,2,3,4,2
46571,0.433866096,Black,6,Female,25-44,Exited to an other or unknown destination,2017,2016,7,1,2,2,2
46572,0.360909309,Latino,8,Female,60+,Permanently Housed,2019,2018,4,2,0,1,0
46576,0.168162679,White,2,Female,45-59,Assessed Only,,2016,10,2,2,1,5
46578,0.079894279,Black,8,Female,60+,"Matched to Permanent Housing, Not Yet Housed",,2022,14,2,4,3,4
46600,0.070499356,Latino,1,Female,25-44,Exited to a place not meant for habitation,2020,2019,11,2,4,2,3
46605,0.876904386,Latino,6,Male,45-59,Exited to an other or unknown destination,2019,2016,1,0,0,1,0
46622,0.613940108,Black,4,Male,25-44,Exited to a place not meant for habitation,2017,2016,3,1,1,1,0
46630,0.221348623,Latino,8,Male,60+,Assessed Only,,2017,7,2,1,1,2
46634,0.368972625,Black,1,Male,25-44,Permanently Housed,2018,2019,8,1,2,2,3
46636,0.741491285,Black,6,Female,60+,Exited to an other or unknown destination,2016,2016,3,1,0,1,0
46639,0.654584371,Black,5,Male,60+,Permanently Housed,2017,2016,5,1,0,1,2
46640,0.284845061,Black,1,Male,25-44,Exited to an other or unknown destination,2018,2016,5,2,1,1,1
46641,0.313014623,White,1,Male,60+,Exited to a place not meant for habitation,2019,2016,5,2,0,1,1
46650,0.649470915,Black,2,Male,25-44,Assessed Only,,2016,3,1,1,0,1
46654,0.681497918,Black,,Male,25-44,Assessed Only,,2016,2,1,1,0,0
46666,0.109719982,White,1,Female,60+,Permanently Housed,2019,2018,10,2,2,4,1
46673,0.053433037,Latino,4,Male,25-44,Permanently Housed,2016,2016,12,2,3,3,4
46675,0.149488149,Black,5,Male,60+,Assessed Only,,2018,10,2,2,3,2
46681,0.22188934,Latino,3,Female,45-59,"Matched to Permanent Housing, Not Yet Housed",,2018,12,1,4,2,5
46686,0.060452616,White,1,Male,45-59,Exited to an other or unknown destination,2019,2016,13,2,3,4,4
46697,0.553470273,Latino,6,Female,25-44,Exited to an other or unknown destination,2016,2016,4,1,1,0,2
46699,0.597471444,Black,1,Male,45-59,Exited to an other or unknown destination,2019,2016,5,1,1,2,1
46718,0.353813161,White,3,Male,25-44,Exited to a temporary destination,2016,2016,6,1,1,3,1
46720,0.04998439,Latino,7,Female,45-59,Exited to an other or unknown destination,2022,2022,14,2,4,4,4
46727,0.90552639,Latino,,Male,45-59,Exited to a temporary destination,2018,2016,0,0,0,0,0
46733,0.231936194,White,5,Male,45-59,Permanently Housed,2019,2016,12,1,3,2,6
46741,0.30855754,Latino,6,Female,45-59,Exited to an other or unknown destination,2016,2016,5,2,1,1,1
46744,0.333419619,Black,1,Male,45-59,"Matched to Permanent Housing, Not Yet Housed",,2022,6,2,1,1,2
46751,0.864976838,Black,4,Male,18-24,Exited to an other or unknown destination,2016,2016,3,0,3,0,0
46754,0.251603391,Asian,4,Female,45-59,"Currently active in ""Street Outreach"" program",,2022,11,1,3,3,4
46759,0.059788073,Latino,7,Male,25-44,Permanently Housed,2017,2016,11,2,2,4,3
46761,0.098095906,Latino,4,Male,25-44,"Currently active in ""Homelessness Prevention"" program",,2020,14,1,3,4,6
46775,0.250410531,Black,8,Male,18-24,Exited to a temporary destination,2019,2018,9,2,1,1,5
46776,0.473301993,Latino,6,Female,25-44,Exited to an other or unknown destination,2017,2016,5,1,0,2,2
46777,0.222832853,Black,4,Male,18-24,Exited to an other or unknown destination,2020,2017,9,2,1,2,4
46779,0.920023536,White,,Female,45-59,Permanently Housed,2016,2016,0,0,0,0,0
46803,0.230883967,White,4,Female,60+,"Currently active in ""Emergency Shelter"" program",,2016,7,2,2,1,1
46804,0.131162643,White,4,Male,18-24,"Currently active in ""Transitional Housing"" program",,2018,14,1,4,4,5
46810,0.574468137,Asian,4,Male,60+,"Currently active in ""Emergency Shelter"" program",,2017,5,1,0,1,2
46812,0.355766211,Black,4,Female,60+,Exited to a temporary destination,2017,2017,7,2,1,0,3
46823,0.177502023,Black,4,Male,45-59,Exited to an other or unknown destination,2020,2019,9,2,3,2,2
46827,0.259926335,White,1,Male,45-59,Assessed Only,,2016,6,2,0,2,2
46831,0.244189968,Latino,8,Male,60+,Permanently Housed,2018,2017,10,1,4,2,2
46833,0.448028503,Latino,4,Male,25-44,Exited to an other or unknown destination,2018,2016,5,1,1,1,2
46837,0.217867749,Latino,2,Male,45-59,Permanently Housed,2018,2016,12,1,2,3,6
46839,0.464431717,Latino,7,Male,45-59,Permanently Housed,2019,2016,5,1,1,3,0
46846,0.866918663,White,4,Female,45-59,Exited to an other or unknown destination,2017,2016,2,0,1,1,0
46849,0.763183393,White,2,Female,45-59,Exited to an other or unknown destination,2017,2017,6,0,2,1,3
46858,0.609815643,Black,6,Female,25-44,"Currently active in ""Services Only"" program",,2016,4,1,1,1,1
46872,0.070781112,White,5,Male,45-59,Permanently Housed,2018,2016,12,2,4,3,3
46894,0.080365387,Latino,3,Female,60+,Exited to an institutional destination,2019,2017,12,2,2,4,3
46915,0.196962044,Black,4,Male,45-59,Assessed Only,,2016,9,2,2,2,3
46916,0.608037033,Black,6,Male,25-44,Permanently Housed,2018,2017,3,1,0,2,0
46917,0.698310654,Latino,8,Male,60+,Permanently Housed,2021,2019,2,1,0,0,0
46946,0.188772166,Latino,5,Male,25-44,Exited to an other or unknown destination,2017,2017,5,2,1,2,0
46956,0.402744549,Black,6,Female,18-24,Assessed Only,,2016,5,2,1,1,1
46960,0.094202969,Black,6,Female,45-59,"Matched to Permanent Housing, Not Yet Housed",,2018,13,2,4,3,4
46974,0.406585518,Black,4,Female,25-44,"Currently active in ""Street Outreach"" program",,2016,3,2,0,1,0
46978,0.034014907,Black,6,Male,25-44,Permanently Housed,,2019,16,2,4,4,6
46994,0.090534914,Latino,7,Female,25-44,Exited to a temporary destination,2019,2019,10,2,3,2,3
46997,0.046025646,White,4,Male,45-59,Permanently Housed,2022,2018,15,2,3,4,6
47006,0.243843784,Asian,5,Male,25-44,"Matched to Permanent Housing, Not Yet Housed",2017,2016,8,1,4,2,1
47008,0.157885975,White,8,Male,25-44,Exited to an other or unknown destination,2018,2018,6,2,2,2,0
47010,0.748420314,Black,8,Female,45-59,Permanently Housed,2022,2016,3,1,0,1,1
47011,0.047318218,Latino,7,Male,25-44,Exited to an other or unknown destination,2022,2022,12,2,4,3,3
47017,0.603429859,Black,2,Male,45-59,Exited to an other or unknown destination,2018,2017,5,1,2,1,1
47020,0.516540048,White,4,Male,45-59,"Matched to Permanent Housing, Not Yet Housed",2018,2018,5,1,1,2,1
47030,0.154184636,Black,2,Male,45-59,Permanently Housed,2018,2017,10,2,2,3,3
47034,0.125703094,Latino,2,Male,18-24,Permanently Housed,,2018,9,2,1,4,2
47039,0.075954461,Black,4,Male,25-44,Exited to an other or unknown destination,2016,2016,11,2,3,4,2
47041,0.223119206,Latino,7,Female,45-59,Exited to an other or unknown destination,2020,2018,7,2,1,2,2
47051,0.400442938,Latino,6,Female,18-24,Permanently Housed,2017,2016,7,1,2,3,1
47064,0.694582237,Black,6,Female,18-24,Exited to an other or unknown destination,2017,2016,4,1,0,2,1
47071,0.044304632,Latino,2,Male,45-59,Permanently Housed,,2017,14,2,4,4,4
